Gender,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,E
FEMALE(2016),58,2685,6581,10204,13649,17238,22960,30979,41632,57487,77718,18007
MALE(2016),83,1960,4394,7012,10096,14969,21832,30047,39319,54648,72211,15322
ALL(2016),141,4645,10975,17216,23745,32207,44792,61026,80951,112135,149929,33399
MALE(2015),2024,7952,13517,19826,25312,29556,33437,37482,40181,40442,25531,3127
FEMALE(2015),661,4117,8410,13634,19269,25214,31476,36633,38976,39113,23127,2223
ALL(2015),2685,12069,21927,33460,44581,54770,64913,74115,79157,79555,48658,5350
MALE(2006),148,638,1195,1627,2108,2569,2984,3299,3418,3291,2635,834
FEMALE(2006),69,242,446,772,1234,1873,2554,3193,3519,3513,2909,897
ALL(2006),217,880,1641,2399,3342,4442,5538,6492,6937,6804,5544,1731
MALE(2007),110,563,1159,1761,2268,2871,3314,3609,3721,3493,2762,779
FEMALE(2007),50,191,473,844,1339,2100,2865,3439,3817,3730,2924,790
ALL(2007),160,754,1632,2605,3607,4971,6179,7048,7538,7223,5686,1569
MALE(2008),102,698,1413,1957,2469,2972,3463,3824,3981,3942,3400,1379
FEMALE(2008),66,274,596,920,1417,2129,2946,3618,4043,4150,3593,1376
ALL(2008),168,972,2009,2877,3886,5101,6409,7442,8024,8092,6993,2755
MALE(2009),138,628,1436,2124,2783,3311,3824,4247,4402,4336,3606,1257
FEMALE(2009),58,218,553,974,1572,2388,3216,3996,4447,4514,3897,1326
ALL(2009),196,846,1989,3098,4355,5699,7040,8243,8849,8850,7503,2583
MALE(2010),182,892,1787,2458,3094,3639,4168,4536,4704,4561,3776,1306
FEMALE(2010),97,344,744,1219,1875,2722,3637,4389,4734,4769,4012,1304
ALL(2010),279,1236,2531,3677,4969,6361,7805,8925,9438,9330,7788,2610
MALE(2011),1315,6322,11150,14793,18344,22474,27631,31955,34093,32995,23741,3684
FEMALE(2011),615,2741,5240,8151,11771,16742,22334,26890,29760,31397,23532,2916
ALL(2011),1930,9063,166390,22944,30115,39216,49965,58845,63853,64392,47273,6600
MALE(2012),1277,5947,11753,15962,18936,22180,27134,31582,35655,37694,26436,4263
FEMALE(2012),698,3288,5977,9221,12174,16291,21771,27166,31548,35872,25997,3621
ALL(2012),1975,9235,17730,25183,31110,38471,48905,58748,67203,73566,52433,7884
MALE(2013),1855,6276,10776,15315,18216,21836,26492,32385,37703,39672,28542,3913
FEMALE(2013,867,3492,6237,9341,12648,16515,22079,28378,34100,38505,27251,3126
ALL(2013),2722,9768,17013,24656,30864,38351,48571,60763,71803,78177,55793,7039
MALE(2014),2133,7644,12606,17941,21997,25978,30699,36015,38749,37365,24542,3227
FEMALE(2014),940,4124,7208,11378,16318,21450,27989,34662,37449,36136,23174,2409
ALL(2014),3073,11768,19814,29319,38315,47428,58688,70677,76198,73501,47716,5636
MALE(2017),81,1813,4596,7738,11631,15828,21506,31206,45522,68572,88040,18345
FEMALE(2017),61,901,2748,4890,7754,12032,18968,29834,42925,66978,91341,17191
ALL(2017),142,2714,7344,12628,19385,27860,40474,61040,88447,135550,179381,35536
MALE(2018),201,2179,5157,10036,15548,20131,25692,35472,48392,72631,81107,16783
FEMALE(2018),114,1238,3111,6367,10608,15687,24015,35575,48120,75287,84032,14057
ALL(2018),375,3417,8268,16403,26156,35818,49707,71047,96512,147918,165139,30840
MALE(2019),358,3624,8221,14675,20379,24714,31018,40275,49874,67904,76141,16382
FEMALE(2019),269,2172,5145,9803,14961,21425,32084,43083,51813,69809,76198,12936
ALL(2019),627,5796,13366,24478,35340,46139,63102,83358,101687,137713,152339,29318
MALE(2020),589,4049,8815,14932,21845,30924,42606,54128,59527,59141,66572,15225
FEMALE(2020),304,2371,5612,10275,16349,27075,42852,55326,58371,62801,70789,12821
ALL(2020),893,6420,14427,25207,38194,57999,85458,109454,117898,121942,137361,28046
